Marca temporal,¿Qué Campus eres?,¿Qué Semestre?,¿Qué Carrera?,¿Has tenido problemas para generar tu horario en UPSite?,¿Qué problemas has tenido?,¿Qué factores tomas en consideración al crear tu horario?,¿Cuántas materias metes por semestre?,"De esas materias, ¿cuántas materias lograste meter?","¿Usarías una aplicación para generar disponibles horarios? En caso de confirmar, ¿qué características te gustaría ver?",Has tenido problemas para ver tus calificaciones?,Qué problemas has tenido (nueva)
25/01/2025 17:09:11,Mixcoac,6,Mercadotecnia,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario",Profesor,8+,4,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tiempo de carga amplio
25/01/2025 17:11:49,Mixcoac,Graduado,Ingeniería Industrial,Si,"Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Horas, Cupo",7,5,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 17:18:22,Mixcoac,4,Matemáticas Aplicadas,Si,"Interfaz poco intuitiva, Poca disponibilidad, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario",Horas,7,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Se tardan en reflejar en UP4U
25/01/2025 17:24:03,Mixcoac,4,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario",Si,Tengo indicadores
25/01/2025 17:27:01,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,6,"Generar un excel intuitivo de tu horario, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 17:31:22,Mixcoac,4,Negocios Internacionales,Si,"Problemas de Carga, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,7,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario",Si,Interfaz poco intuitiva
25/01/2025 17:37:53,Mixcoac,6,ESDAI,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,Todas,"Agregar automáticamente tu horario a google calendar, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Información incorrecta en las calificaciones
25/01/2025 17:56:16,Mixcoac,8,Ingeniería en Animación y Videojuegos,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",6,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",Si,Campos vacíos
25/01/2025 17:57:31,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Se interponen tus horarios, Es difícil planear tu horario","Horas, Cupo",7,Todas,"Generar un excel intuitivo de tu horario, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 17:59:38,Mixcoac,7,Negocios Internacionales,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",8+,6,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Información incorrecta en las calificaciones
